"
Конечные остановки
","
№
",url
"Собор А. Невского - 
                                С/х Медведево",2,https://igis-transport.ru/izh/citybus/2?
"Собор А. Невского - 
                                Люлли",6,https://igis-transport.ru/izh/citybus/6?
"Собор А. Невского - 
                                База СТМ",7,https://igis-transport.ru/izh/citybus/7?
"Станкострой - 
                                Малиновая Гора",8,https://igis-transport.ru/izh/citybus/8?
"Собор А. Невского - 
                                пос. Шунды",9,https://igis-transport.ru/izh/citybus/9?
"Станкострой - 
                                завод Пластмасс",10,https://igis-transport.ru/izh/citybus/10?
"Собор А. Невского - 
                                ул. Фурманова",11,https://igis-transport.ru/izh/citybus/11?
"Разворотное кольцо - 
                                Станкострой",12,https://igis-transport.ru/izh/citybus/12?
"Станкострой - 
                                Металлобаза",15,https://igis-transport.ru/izh/citybus/15?
"УБР - 
                                    м/р - 
                                н Северный",16,https://igis-transport.ru/izh/citybus/16?
"парк им. Кирова - 
                                Автозавод",18,https://igis-transport.ru/izh/citybus/18?
"ул. Чугуевского - 
                                ул. Выставочная",19,https://igis-transport.ru/izh/citybus/19?
"Садоогороды - 
                                Трансельхозтехника",21,https://igis-transport.ru/izh/citybus/21?
"Оранжерейный комплекс - 
                                Нагорный микрорайон",22,https://igis-transport.ru/izh/citybus/22?
"ул. 9 - 
                                    е Января - 
                                Школа № 94",23,https://igis-transport.ru/izh/citybus/23?
"Завод Пластмасс - 
                                    мкр - 
                                н Нагорный",25,https://igis-transport.ru/izh/citybus/25?
"16 - 
                                    я - 
                                Разворотное кольцо",26,https://igis-transport.ru/izh/citybus/26?
"ул. К. Герда - 
                                Рембыттехника",27,https://igis-transport.ru/izh/citybus/27?
"Сквер металлургов - 
                                Колледж гос и муниципальной службы",28,https://igis-transport.ru/izh/citybus/28?
"Парк Кирова - 
                                Рембыттехника",29,https://igis-transport.ru/izh/citybus/29?
"Рембыттехника - 
                                Троллейбусное кольцо",31,https://igis-transport.ru/izh/citybus/31?
"Садоогороды - 
                                Станкострой",34,https://igis-transport.ru/izh/citybus/34?
"Завод Пластмасс - 
                                Нагорный микрорайон",36,https://igis-transport.ru/izh/citybus/36?
"ул. Чугуевского - 
                                Восточный рынок",39,https://igis-transport.ru/izh/citybus/39?
"Центр - 
                                Разворотное кольцо",40,https://igis-transport.ru/izh/citybus/40?
"Собор А. Невского - 
                                с/з Металлург",41,https://igis-transport.ru/izh/citybus/41?
"пос. Машиностроителей - 
                                Птицефабрика",45,https://igis-transport.ru/izh/citybus/45?
"Транссельхозтехника - 
                                1 РКБ",49,https://igis-transport.ru/izh/citybus/49?
"ул. К.Герда - 
                                ул. Ворошилова",50,https://igis-transport.ru/izh/citybus/50?
"ИжГТУ - 
                                Рембыттехника",52,https://igis-transport.ru/izh/citybus/52?
"завод Пластмасс - 
                                Чекерил",53,https://igis-transport.ru/izh/citybus/53?
"Собор А. Невского - 
                                    м/р - 
                                н Игерман",56,https://igis-transport.ru/izh/citybus/56?
"Ракетная - 
                                пов. на Смирново",68,https://igis-transport.ru/izh/citybus/68?
"ГКБ №3 - 
                                Бригада Самолет",71,https://igis-transport.ru/izh/citybus/71?
"Собор А. Невского - 
                                п. Шунды",73,https://igis-transport.ru/izh/citybus/73?
"Парк им. Кирова - 
                                Разворотное кольцо",79,https://igis-transport.ru/izh/citybus/79?
