 Конечные остановки , № марш. ,url
Улица Московская - Сквер металлургов,1,https://igis-transport.ru/izh/tram/1?
Улица Промышленная - Буммаш,2,https://igis-transport.ru/izh/tram/2?
Улица Московская - Улица Промышленная,3,https://igis-transport.ru/izh/tram/3?
Улица Промышленная - Сквер металлургов,4,https://igis-transport.ru/izh/tram/4?
Буммаш - Улица Огнеупорная,5,https://igis-transport.ru/izh/tram/5?
Буммаш - Сквер металлургов,7,https://igis-transport.ru/izh/tram/7?
Буммаш - Улица Промышленная,8,https://igis-transport.ru/izh/tram/8?
Улица Московская - Буммаш,9,https://igis-transport.ru/izh/tram/9?
Сквер металлургов - Улица Ворошилова,10,https://igis-transport.ru/izh/tram/10?
Улица Промышленная - Улица Ворошилова,11,https://igis-transport.ru/izh/tram/11?
Улица Московская - Улица Ворошилова,12,https://igis-transport.ru/izh/tram/12?
